face_measurement_id,person_id,image_name,image_path,visibility_label,true_hairline_y,true_y_source,estimated_hairline_y,detected_hairline_y,mean_difference_ratio,std_difference_ratio,min_difference_ratio,max_difference_ratio,near_boundary_ratio,mean_skin_ratio
1,2,D:\data\raw_data\20220817_ID0002_C_01_N00130.png,D:\data\raw_data\20220817_ID0002_C_01_N00130.png,covered,,unknown,228.779381,332.000000,0.660420,0.097488,0.416826,0.800502,0.000000,0.300956
2,3,D:\data\raw_data\20220817_ID0003_C_02_N00014.png,D:\data\raw_data\20220817_ID0003_C_02_N00014.png,covered,,unknown,234.281509,341.000000,0.748347,0.078397,0.553924,0.929489,0.000000,0.231005
3,6,D:\data\raw_data\20220824_ID0006_C_02_N00249.png,D:\data\raw_data\20220824_ID0006_C_02_N00249.png,visible,254.000000,detected,248.864319,254.000000,0.051394,0.034080,0.000684,0.111659,0.679412,0.774373
4,9,D:\data\raw_data\20220824_ID0009_C_01_N00124.png,D:\data\raw_data\20220824_ID0009_C_01_N00124.png,covered,,unknown,254.320091,348.000000,0.702271,0.121504,0.384108,0.962996,0.000000,0.283461
5,10,D:\data\raw_data\20220824_ID0010_C_01_N00266.png,D:\data\raw_data\20220824_ID0010_C_01_N00266.png,visible,269.000000,detected,237.222633,269.000000,0.285106,0.134555,0.144396,0.637342,0.000000,0.559385
6,12,D:\data\raw_data\20220825_ID0012_C_01_N00089.png,D:\data\raw_data\20220825_ID0012_C_01_N00089.png,visible,281.000000,detected,233.656334,281.000000,0.273710,0.071022,0.168497,0.460233,0.000000,0.582556
7,13,D:\data\raw_data\20220825_ID0013_C_01_N00337.png,D:\data\raw_data\20220825_ID0013_C_01_N00337.png,visible,288.000000,detected,254.599983,288.000000,0.459946,0.330624,0.176641,1.083089,0.000000,0.437727
8,14,D:\data\raw_data\20220825_ID0014_C_01_N00251.png,D:\data\raw_data\20220825_ID0014_C_01_N00251.png,visible,282.000000,detected,250.485481,282.000000,0.470523,0.318713,0.176444,1.144913,0.000000,0.430565
9,16,D:\data\raw_data\20220826_ID0016_C_01_N00408.png,D:\data\raw_data\20220826_ID0016_C_01_N00408.png,visible,290.000000,detected,237.640190,290.000000,0.350359,0.096739,0.228922,0.634240,0.000000,0.524411
10,19,D:\data\raw_data\20220826_ID0019_C_02_N00102.png,D:\data\raw_data\20220826_ID0019_C_02_N00102.png,partial,294.000000,manual,254.065842,344.000000,0.549199,0.293671,0.194940,0.981752,0.000000,0.378259
11,22,D:\data\raw_data\20220829_ID0022_C_01_N00006.png,D:\data\raw_data\20220829_ID0022_C_01_N00006.png,visible,283.000000,detected,254.950180,283.000000,0.203934,0.065210,0.115822,0.429452,0.000000,0.635926
12,24,D:\data\raw_data\20220829_ID0024_C_01_N00014.png,D:\data\raw_data\20220829_ID0024_C_01_N00014.png,visible,260.000000,detected,236.820000,260.000000,0.303706,0.216519,0.086218,0.949469,0.000000,0.562236
13,25,D:\data\raw_data\20220829_ID0025_C_02_N00125.png,D:\data\raw_data\20220829_ID0025_C_02_N00125.png,visible,267.000000,detected,241.806641,267.000000,0.237444,0.156929,0.105020,0.772563,0.000000,0.599993
14,28,D:\data\raw_data\20220901_ID0028_C_01_N00306.png,D:\data\raw_data\20220901_ID0028_C_01_N00306.png,covered,,unknown,239.401535,340.000000,0.965697,0.062129,0.717684,1.025423,0.000000,0.090220
15,29,D:\data\raw_data\20220901_ID0029_C_01_N00140.png,D:\data\raw_data\20220901_ID0029_C_01_N00140.png,visible,258.000000,detected,261.955200,258.000000,0.037444,0.082870,-0.047326,0.273924,0.779180,0.718383
