face_measurement_id,person_id,image_name,image_path,visibility_label,true_hairline_y,true_y_source,estimated_hairline_y,detected_hairline_y,detected_estimated_difference_ratio,mean_difference_ratio,std_difference_ratio,min_difference_ratio,max_difference_ratio,near_boundary_ratio,mean_skin_ratio
1,2,D:\data\raw_data\20220817_ID0002_C_01_N00130.png,D:\data\raw_data\20220817_ID0002_C_01_N00130.png,covered,,unknown,248.782328,318.000000,0.368850,0.553828,0.097488,0.310233,0.693910,0.000000,0.300956
2,3,D:\data\raw_data\20220817_ID0003_C_02_N00014.png,D:\data\raw_data\20220817_ID0003_C_02_N00014.png,covered,,unknown,253.996300,359.000000,0.555433,0.644063,0.078397,0.449640,0.825205,0.000000,0.231005
3,6,D:\data\raw_data\20220824_ID0006_C_02_N00249.png,D:\data\raw_data\20220824_ID0006_C_02_N00249.png,visible,251.000000,detected,268.946936,251.000000,0.090530,-0.049908,0.034080,-0.100618,0.010356,0.729412,0.774373
4,9,D:\data\raw_data\20220824_ID0009_C_01_N00124.png,D:\data\raw_data\20220824_ID0009_C_01_N00124.png,covered,,unknown,273.667442,343.000000,0.393488,0.592467,0.121504,0.274305,0.853193,0.000000,0.283461
5,10,D:\data\raw_data\20220824_ID0010_C_01_N00266.png,D:\data\raw_data\20220824_ID0010_C_01_N00266.png,visible,264.000000,detected,256.950607,264.000000,0.039488,0.174597,0.134555,0.033887,0.526832,0.380645,0.559385
6,12,D:\data\raw_data\20220825_ID0012_C_01_N00089.png,D:\data\raw_data\20220825_ID0012_C_01_N00089.png,covered,,unknown,253.769791,268.000000,0.074133,0.168927,0.071022,0.063714,0.355451,0.122924,0.582556
7,13,D:\data\raw_data\20220825_ID0013_C_01_N00337.png,D:\data\raw_data\20220825_ID0013_C_01_N00337.png,covered,286.000000,detected,273.433825,286.000000,0.073017,0.311989,0.300967,0.067206,0.967843,0.196364,0.437727
8,14,D:\data\raw_data\20220825_ID0014_C_01_N00251.png,D:\data\raw_data\20220825_ID0014_C_01_N00251.png,covered,280.000000,detected,269.760381,280.000000,0.061215,0.353016,0.316827,0.061215,1.023705,0.280405,0.430565
9,16,D:\data\raw_data\20220826_ID0016_C_01_N00408.png,D:\data\raw_data\20220826_ID0016_C_01_N00408.png,visible,,unknown,257.182111,283.000000,0.139526,0.244750,0.096739,0.123313,0.528631,0.000000,0.524411
10,19,D:\data\raw_data\20220826_ID0019_C_02_N00102.png,D:\data\raw_data\20220826_ID0019_C_02_N00102.png,visible,289.000000,detected,273.304982,289.000000,0.087582,0.441840,0.293671,0.087582,0.874393,0.000000,0.378259
11,22,D:\data\raw_data\20220829_ID0022_C_01_N00006.png,D:\data\raw_data\20220829_ID0022_C_01_N00006.png,visible,278.000000,detected,274.000172,278.000000,0.022008,0.099116,0.065210,0.011004,0.324633,0.437931,0.635926
12,24,D:\data\raw_data\20220829_ID0024_C_01_N00014.png,D:\data\raw_data\20220829_ID0024_C_01_N00014.png,visible,255.000000,detected,256.373469,255.000000,0.007319,0.199511,0.216519,-0.017976,0.845274,0.400651,0.562236
13,25,D:\data\raw_data\20220829_ID0025_C_02_N00125.png,D:\data\raw_data\20220829_ID0025_C_02_N00125.png,visible,265.000000,detected,261.481714,265.000000,0.019251,0.129789,0.156929,-0.002636,0.664908,0.517350,0.599993
14,28,D:\data\raw_data\20220901_ID0028_C_01_N00306.png,D:\data\raw_data\20220901_ID0028_C_01_N00306.png,covered,,unknown,259.542256,393.000000,0.733396,0.855017,0.062129,0.607003,0.914743,0.000000,0.090220
15,29,D:\data\raw_data\20220901_ID0029_C_01_N00140.png,D:\data\raw_data\20220901_ID0029_C_01_N00140.png,visible,255.000000,detected,280.876599,255.000000,0.153942,-0.075121,0.082870,-0.159891,0.161359,0.252366,0.718383
16,30,D:\data\raw_data\20220901_ID0030_C_01_N00002.png,D:\data\raw_data\20220901_ID0030_C_01_N00002.png,visible,267.000000,detected,271.853788,267.000000,0.026698,0.115490,0.116588,-0.054199,0.374828,0.437500,0.629425
17,33,D:\data\raw_data\20220901_ID0033_C_01_N00342.png,D:\data\raw_data\20220901_ID0033_C_01_N00342.png,visible,269.000000,detected,246.362885,269.000000,0.115448,0.175785,0.062103,0.115448,0.370444,0.000000,0.588444
18,37,D:\data\raw_data\20220902_ID0037_C_02_N00068.png,D:\data\raw_data\20220902_ID0037_C_02_N00068.png,visible,273.000000,detected,253.454573,273.000000,0.112029,0.168300,0.039427,0.100566,0.238128,0.000000,0.542897
19,38,D:\data\raw_data\20220902_ID0038_C_01_N00103.png,D:\data\raw_data\20220902_ID0038_C_01_N00103.png,visible,249.000000,detected,260.362497,249.000000,0.065536,0.234578,0.207188,-0.088607,0.666969,0.250825,0.535191
20,39,D:\data\raw_data\20220902_ID0039_C_02_N00139.png,D:\data\raw_data\20220902_ID0039_C_02_N00139.png,visible,276.000000,detected,257.824039,276.000000,0.099192,0.140761,0.028268,0.093734,0.191965,0.000000,0.595915
21,40,D:\data\raw_data\20220905_ID0040_C_02_N00094.png,D:\data\raw_data\20220905_ID0040_C_02_N00094.png,visible,304.000000,detected,274.775964,304.000000,0.169614,0.362164,0.164185,0.158006,0.871886,0.000000,0.434095
22,43,D:\data\raw_data\20220905_ID0043_C_01_N00012.png,D:\data\raw_data\20220905_ID0043_C_01_N00012.png,visible,268.000000,detected,274.985290,268.000000,0.039737,0.099524,0.182409,-0.056803,0.648595,0.637255,0.648719
23,44,D:\data\raw_data\20220905_ID0044_C_02_N00046.png,D:\data\raw_data\20220905_ID0044_C_02_N00046.png,visible,227.000000,detected,251.845015,227.000000,0.143612,0.052034,0.203028,-0.195635,0.636731,0.300000,0.619019
24,45,D:\data\raw_data\20220905_ID0045_C_01_N00079.png,D:\data\raw_data\20220905_ID0045_C_01_N00079.png,visible,296.000000,detected,255.530965,296.000000,0.224622,0.401828,0.125255,0.207971,0.674209,0.000000,0.403387
25,46,D:\data\raw_data\20220905_ID0046_C_01_N00004.png,D:\data\raw_data\20220905_ID0046_C_01_N00004.png,visible,223.000000,detected,249.380367,223.000000,0.136934,-0.048568,0.105906,-0.142125,0.231609,0.266272,0.741221
26,48,D:\data\raw_data\20220906_ID0048_C_01_N00001.png,D:\data\raw_data\20220906_ID0048_C_01_N00001.png,visible,267.000000,detected,258.532173,267.000000,0.046040,0.218917,0.148567,0.035166,0.584310,0.217105,0.536524
27,49,D:\data\raw_data\20220906_ID0049_C_02_N00068.png,D:\data\raw_data\20220906_ID0049_C_02_N00068.png,visible,266.000000,detected,261.508192,266.000000,0.023039,0.104502,0.081898,0.017910,0.346177,0.545752,0.653041
28,50,D:\data\raw_data\20220906_ID0050_C_01_N00651.png,D:\data\raw_data\20220906_ID0050_C_01_N00651.png,visible,268.000000,detected,243.855759,268.000000,0.134870,0.203156,0.071484,0.129284,0.442100,0.000000,0.528172
29,52,D:\data\raw_data\20220906_ID0052_C_01_N00004.png,D:\data\raw_data\20220906_ID0052_C_01_N00004.png,visible,315.000000,detected,282.902428,315.000000,0.188370,0.379289,0.215853,0.176633,0.963036,0.000000,0.388093
30,55,D:\data\raw_data\20220906_ID0055_C_01_N00008.png,D:\data\raw_data\20220906_ID0055_C_01_N00008.png,visible,257.000000,detected,271.800677,257.000000,0.085752,-0.009149,0.047883,-0.091546,0.099649,0.889251,0.681484
31,58,D:\data\raw_data\20220907_ID0058_C_02_N00006.png,D:\data\raw_data\20220907_ID0058_C_02_N00006.png,visible,307.000000,detected,247.309273,307.000000,0.340923,0.390435,0.046147,0.323789,0.552248,0.000000,0.406205
32,67,D:\data\raw_data\20220913_ID0067_C_01_N00001.png,D:\data\raw_data\20220913_ID0067_C_01_N00001.png,visible,325.000000,detected,259.594362,325.000000,0.336334,0.537311,0.120675,0.264342,0.737431,0.000000,0.346143
33,70,D:\data\raw_data\20220913_ID0070_C_02_N00033.png,D:\data\raw_data\20220913_ID0070_C_02_N00033.png,visible,285.000000,detected,254.253894,285.000000,0.166861,0.547756,0.204521,0.161434,0.807256,0.000000,0.307198
34,73,D:\data\raw_data\20220913_ID0073_C_01_N00001.png,D:\data\raw_data\20220913_ID0073_C_01_N00001.png,visible,241.000000,detected,254.932207,241.000000,0.075182,-0.036042,0.046062,-0.085975,0.124480,0.897436,0.714411
35,75,D:\data\raw_data\20220914_ID0075_C_01_N00041.png,D:\data\raw_data\20220914_ID0075_C_01_N00041.png,visible,257.000000,detected,264.023849,257.000000,0.038652,0.191457,0.243692,-0.049658,0.665726,0.531250,0.554088
36,78,D:\data\raw_data\20220914_ID0078_C_03_N00306.png,D:\data\raw_data\20220914_ID0078_C_03_N00306.png,visible,240.000000,detected,270.172940,240.000000,0.169668,-0.099218,0.053838,-0.192161,0.083375,0.234114,0.751842
37,80,D:\data\raw_data\20220914_ID0080_C_01_N00036.png,D:\data\raw_data\20220914_ID0080_C_01_N00036.png,visible,271.000000,detected,252.470503,271.000000,0.097480,0.170206,0.074675,0.086959,0.381565,0.000000,0.583709
38,82,D:\data\raw_data\20220915_ID0082_C_02_N00018.png,D:\data\raw_data\20220915_ID0082_C_02_N00018.png,visible,233.000000,detected,251.927339,233.000000,0.097173,0.002585,0.092093,-0.107441,0.231404,0.437500,0.726622
39,83,D:\data\raw_data\20220915_ID0083_C_01_N00001.png,D:\data\raw_data\20220915_ID0083_C_01_N00001.png,visible,255.000000,detected,266.875819,255.000000,0.062937,0.102157,0.201530,-0.078836,0.710801,0.701987,0.639866
